,RMSE,MAE,MAPE (%),R2,IA
Single-Factor LSTM,17.940963125337813,10.370430302447355,34.56008948962228,0.9550707707291353,0.9881866616392796
Attention Multi-Factor LSTM,16.140752149485373,9.894122950585508,28.744857633922987,0.963634882184898,0.990757959626602
Integrated Dual LSTM + XGBoost,26.782058148813775,13.044463821734274,45.29602442119953,0.9392254731156036,0.9833359427161703
